"","Year","Entity","new_cases_5_years_later","population_size_5_years_later","hdi","haq","gdp_per_capita","female_emply_rate","urb_rate","drug_alcohol_disorder_share","new_cases_share_5_years_later","hdi_avg","haq_avg","gdp_per_capita_avg","female_emply_rate_avg","urb_rate_avg","drug_alcohol_disorder_share_avg","hdi_over_avg","haq_over_avg","gdp_per_capita_over_avg","female_emply_rate_over_avg","urb_rate_over_avg","drug_alcohol_disorder_share_over_avg"
"370",2005,"Netherlands",947.10594369,16683000,0.891,85.1,42550,56.6430015563965,82.63,1.743524754,5.67707213145118e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,0
"371",1990,"New Zealand",95.2911913229,3675000,0.818,74.2,19955,53.298999786377,84.742,3.611951332,2.59295758701769e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"372",1995,"New Zealand",124.565010608,3859000,0.851,77.6,22506,55.1129989624023,85.553,3.722411553,3.22790905954911e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"373",2000,"New Zealand",153.338770396,4135000,0.869,80,25868,56.6889991760254,86.021,3.561022504,3.70831367342201e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"374",2005,"New Zealand",190.589552004,4370000,0.888,82.5,26840,60.0970001220703,86.341,3.573335646,4.36131697949657e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"375",1990,"Nicaragua",163.558621538,4652000,0.489,49.7,2123,36.5229988098145,53.075,2.349546664,3.51587750511608e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,1
"376",1995,"Nicaragua",383.940098297,5069000,0.524,51.7,2215,33.8310012817383,54.437,2.318398066,7.57427694411127e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,1
"377",2000,"Nicaragua",637.703575677,5439000,0.57,55.5,2724,38.5629997253418,55.185,2.350200399,0.000117246474660232,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,1
"378",2005,"Nicaragua",1404.97952086,5824000,0.596,58.8,3240,44.0909996032715,55.935,2.311461583,0.00024123961553228,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,1,0,0,1,0
"379",1990,"Niger",8595.67216354,9490000,0.21,31.8,897,68.1330032348633,15.368,1.514164316,0.000905761028824025,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"380",1995,"Niger",9057.2663654,11332000,0.229,33.1,728,67.9390029907227,15.773,1.491341049,0.000799264592781504,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
